Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
113,1.0,0.5189,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",fashion focused platform xydrobe created hyper realistic digital copy viral harry styles cardigan jw anderson
114,1.0,0.4649,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",piece digital wearable art collezione genesi unveiled alta moda show venice fetched huge sums auction
115,1.0,0.4649,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",piece digital wearable art collezione genesi unveiled alta moda show venice fetched huge sums auction
116,1.0,0.4649,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",piece digital wearable art collezione genesi unveiled alta moda show venice fetched huge sums auction
117,1.0,0.2857,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",designed peter dundas mary j blige superbowl look available
118,0.0,0.3521,"drop, fashion, love, world, big, new, time, begin, go, pendant",stefan cooke shaking monopoly new collection sims
119,0.0,0.3768,"drop, fashion, love, world, big, new, time, begin, go, pendant",kind virtual fashion show imvu online social networking site united real world labels collina strada gypsy sport mowalola freak city bruce glen mum made mimi wade expert creators
120,2.0,0.3154,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",imvu online social networking site host runway show featuring collina strada mowalola gypsy sport details including watch
121,0.0,0.3823,"drop, fashion, love, world, big, new, time, begin, go, pendant",want sleep kate moss new video works take viewers home bed exclusive story
122,3.0,0.3714,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",women carving space market
123,3.0,0.3701,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",photographer hugocomte expanding beyond image must fashion
124,1.0,0.3161,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",peri new colour invented represent 2022 cautious optimism
125,1.0,0.5075,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",fashion focused platform xydrobe created hyper realistic digital copy viral harrystyles cardigan jw anderson
126,0.0,0.438,"drop, fashion, love, world, big, new, time, begin, go, pendant",digital outfits xr vogue explores possibilities fashion
127,0.0,0.3441,"drop, fashion, love, world, big, new, time, begin, go, pendant",french luxury maison celebrating 200 years founder creator book apple tv documentary video game 200 collaborations read know man behind brand louis200
128,3.0,0.3987,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",collaboration entering space exclusive collection inspired venice
129,3.0,0.4234,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",already vogue business member members automatically registered attend members receive emailed instructions event detailing join vogue business yahoo experience offer expires monday 28 february midnight et
130,2.0,0.3451,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",vogue business yahoo experience take place 23 march time show virtual island host hour event experience open exclusively vogue business members
131,1.0,0.4115,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",paris fashion week pushing ahead support web 3 0 next generation internet partnership french tech startup
132,3.0,0.4369,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",fashion dives headfirst leave sustainability strategies
133,3.0,0.4552,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",already vogue business member members automatically registered attend members receive emailed instructions event detailing join vogue business yahoo experience
134,2.0,0.3451,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",vogue business yahoo experience take place 23 march time show virtual island host hour event experience open exclusively vogue business members
135,3.0,0.4379,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",already vogue business member members automatically registered attend members receive emailed instructions event detailing join vogue business yahoo experience find
136,1.0,0.3941,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",journey save 30 vogue business annual membership offer expires monday 28 february
137,0.0,0.3339,"drop, fashion, love, world, big, new, time, begin, go, pendant",fashion luxury brands including joined official lineup ever fashion week mvfw hosted
138,3.0,0.4369,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",fashion dives headfirst leave sustainability strategies
139,2.0,0.4312,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",chairman fran ois henri pinault says luxury group ready willing experiment announcing rebound growth leading digital innovators years underperformance
140,0.0,0.4791,"drop, fashion, love, world, big, new, time, begin, go, pendant",navigating new agencies talk watch speak biggest agencies new consultancies best practice ushering fashion luxury brands new era find
141,1.0,0.378,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",roksanda created fashion week fashions flirtation building momentum roksanda institute digital fashion created wearable london fashion week find
142,3.0,0.4561,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",already member members automatically registered attend members receive emailed instructions event detailing join vogue business yahoo experience
143,1.0,0.3308,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",journey vogue business partnership yahoo dept 23 march event open vogue business members sign today save 30 standard annual rate discount code save30
144,2.0,0.3405,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",trademark intellectual property valuable physically virtually brands legal teams playing catch find
145,0.0,0.3849,"drop, fashion, love, world, big, new, time, begin, go, pendant",influenced new york fashion week virtual blended fashion shows new york fashion week designers added elements catwalk experience find
146,1.0,0.465,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",sign today using code save30 benefit coverage latest news tech innovations sustainability developments plus members get exclusive access tracker experience watchlist much
147,1.0,0.3138,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",prada dress gamers riders republic sports world prada pushing via partnership french gaming company ubisoft popular outdoor winter sports game find
148,2.0,0.3557,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",gucci plans virtual world gen z sandbox housed brand gucci vault concept launches vintage gucci emerging labels space host immersive experiences find
149,1.0,0.465,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",sign today using code save30 benefit coverage latest news tech innovations sustainability developments plus members get exclusive access tracker experience watchlist much
150,0.0,0.6124,"drop, fashion, love, world, big, new, time, begin, go, pendant",fashion exec guide outline explain key technologies projects influential fashion across digital clothing mixed reality gaming beyond find
151,0.0,0.359,"drop, fashion, love, world, big, new, time, begin, go, pendant",influenced newyorkfashionweek virtual blended fashion shows new york fashion week designers added elements catwalk experience find
152,1.0,0.5126,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",30 discount offer annual vogue business membership ending soon sign today using code save30 benefit biggest saving ever offered gain access brand new tracker
153,1.0,0.3959,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",created fashion week fashions flirtation building momentum roksanda institute digital fashion created wearable find
154,1.0,0.3138,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",prada dress gamers riders republic sports world prada pushing via partnership french gaming company ubisoft popular outdoor winter sports game find
155,2.0,0.3996,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",housed brand gucci vault concept launches vintage gucci emerging labels space host immersive experiences find
156,1.0,0.3135,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",brands create servers attract enthusiasts share projects existing fans either approach gains projects attention eager audience
157,3.0,0.3615,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",brands need look like future crm full engaged emotional relationship audience avatar
158,2.0,0.3294,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",co creation users community access co ownership make stand luxury industry
159,1.0,0.5303,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",rebound us increased marketing budgets investments digital innovation including helped l al grow sales 16 per cent 32 28 billion 2021 find
160,1.0,0.5126,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",30 discount offer annual vogue business membership ending monday sign today using code save30 benefit biggest saving ever offered gain access brand new tracker
161,3.0,0.3615,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",brands need look like future crm full engaged emotional relationship audience avatar
162,2.0,0.3294,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",co creation users community access co ownership make stand luxury industry
163,1.0,0.5126,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",30 discount offer annual vogue business membership ending soon sign today using code save30 benefit biggest saving ever offered gain access brand new tracker
164,3.0,0.3017,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",happens luxury brand many experimenting wants change eliminate put market
165,2.0,0.2789,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",key feature blockchains cant changed replicated deleted allowing authenticity ownership scarcity happens luxury brand wants change eliminate put market
166,1.0,0.3135,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",brands create servers attract enthusiasts share projects existing fans either approach gains projects attention eager audience
167,3.0,0.3017,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",happens luxury brand many experimenting wants change eliminate put market
168,3.0,0.3795,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",lawsuit filed thursday southern district court new york latest series intellectual property legal battles related
169,3.0,0.3781,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",explosion interest raising sorts new legal issues week filed lawsuit streetwear resale marketplace digital renders sneaker giant footwear sold stockx customers
170,2.0,0.3632,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",front rows parties tickets digital outfit matters seasons relevant welcome fashion week
171,2.0,0.289,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",third quarter revenue increased 27 per cent 1 8 billion beating analyst expectations investments roblox winter escape world lured new younger shoppers
172,0.0,0.3851,"drop, fashion, love, world, big, new, time, begin, go, pendant",meta shocked investors announcing ever fall users conceding rival taking users time tiktokers dominating front rows fashion week meta win fashion
173,0.0,0.277,"drop, fashion, love, world, big, new, time, begin, go, pendant",happy welcome punk club future bright wagmi tweeted founder built marketplace luxury brands
174,2.0,0.3431,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",growing number brands introduced wide variety projects including
175,2.0,0.3786,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",bernard arnault son jumping cryptopunks new profile picture days billionaire chairman signalled wariness bubble effects
176,1.0,0.3702,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",releasing partnership crowd sourced digital artwork beeple style collage luxury newest iteration
177,1.0,0.4406,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",beauty brands wishing make mark need tailored marketing flexible expectations willing take grassroots approach
