Tweet,Processed,Likes,Retweets,Replies,Quotes
"@bxtcheth @WomenriseNFT 📣 #StayTuned 📣 #EyesOfFashion 📣 
First of a kind - 8,888 Unique, hand drawn, colorful, vibrant &amp; inspiring Eyes of #Fashion #NFTs 👁 By 
@TaliaZoref💫 

@TaliaZoref Forbes 30 under 30, worked with #CHANEL, #Fendi, #Dior &amp; MAC.

#NFT #NFTCommunity #FashionAwards #FashionNFT https://t.co/c8NZEEWvlv",staytuned kind 8 888 unique hand drawn colorful vibrant inspiring eyes forbes 30 30 worked chanel fendi dior mac nftcommunity fashionawards fashionnft,3.0,0.0,0.0,1.0
We are excited to announce that our amazing artist &amp; co-founder @TaliaZoref will be speaking as part of the @WomenriseNFT Artist Panel tomorrow 11/22 at 4 PM EST 🥰💖 Join us to hear all about our commitment to making fashion a huge part of the NFT movement! #cryptotwitter https://t.co/5kdln5Lq3a,excited announce amazing artist co founder speaking part artist panel tomorrow 11 22 4 pm est join us hear commitment making huge part movement cryptotwitter,20.0,9.0,1.0,1.0
"@betty_nft This is so true, Betty. Definitely felt this, as I drew Eyes Of Fashion after noticing a lot of judgment in the fashion world :) Would love for you to check it out. https://t.co/tXckLSVt5c",true betty definitely felt drew eyes noticing lot judgment world love check,10.0,2.0,1.0,0.0
"@Moishe_NFTZilla #StayTuned #EyesOfFashion Can't wait!!! Coming soon! 
Creation mode is ON! @EyesoFashionNFT 
First of a kind - 8,888 Unique, hand drawn, colorful, vibrant &amp; inspiring Eyes of #Fashion #NFTs 
https://t.co/5x6ZQxfju5

#NFT #NFTCommunity #NFTartist #FasionNFT #NFTdrops #WorldOfWomen https://t.co/o4WiRkGk7A",staytuned cant wait coming soon creation mode kind 8 888 unique hand drawn colorful vibrant inspiring eyes nftcommunity nftartist fasionnft nftdrops worldofwomen,2.0,0.0,0.0,0.0
"@NFTGalIery #StayTuned #EyesOfFashion Can't wait!!! Coming soon! 
Creation mode is ON! @EyesoFashionNFT 
First of a kind - 8,888 Unique, hand drawn, colorful, vibrant &amp; inspiring Eyes of #Fashion #NFTs 
https://t.co/5x6ZQxfju5

#NFT #NFTCommunity #NFTartist #FasionNFT #NFTdrops #WorldOfWomen https://t.co/Q9v0VaX8B2",staytuned cant wait coming soon creation mode kind 8 888 unique hand drawn colorful vibrant inspiring eyes nftcommunity nftartist fasionnft nftdrops worldofwomen,1.0,0.0,0.0,0.0
"@ItsDannyTDJ #StayTuned #EyesOfFashion Can't wait!!! Coming soon! 
Creation mode is ON! @EyesoFashionNFT 
First of a kind - 8,888 Unique, hand drawn, colorful, vibrant &amp; inspiring Eyes of #Fashion #NFTs 
https://t.co/5x6ZQxfju5

#NFT #NFTCommunity #NFTartist #FasionNFT #NFTdrops #FashionArt https://t.co/3nqlTedj88",staytuned cant wait coming soon creation mode kind 8 888 unique hand drawn colorful vibrant inspiring eyes nftcommunity nftartist fasionnft nftdrops fashionart,4.0,0.0,0.0,1.0
"@NFTMillionaire #StayTuned #EyesOfFashion Can't wait!!! Coming soon! 
Creation mode is ON! @EyesoFashionNFT 
First of a kind - 8,888 Unique, hand drawn, colorful, vibrant &amp; inspiring Eyes of #Fashion #NFTs 
https://t.co/5x6ZQxfju5

#NFT #NFTCommunity #NFTartist #FasionNFT #NFTdrops #WorldOfWomen https://t.co/jMtS72h8WL",staytuned cant wait coming soon creation mode kind 8 888 unique hand drawn colorful vibrant inspiring eyes nftcommunity nftartist fasionnft nftdrops worldofwomen,2.0,0.0,0.0,1.0
"@hun6ter #StayTuned #EyesOfFashion Can't wait!!! coming soon! 
Creation mode is ON! @EyesoFashionNFT 
First of a kind - 8,888 Unique, hand drawn, colorful, vibrant &amp; inspiring Eyes of #Fashion #NFTs 
https://t.co/5x6ZQxfju5

#NFT #NFTCommunity #NFTs #NFTartist #nftgoddesses #NFTdrops https://t.co/OouwdpxfeX",staytuned cant wait coming soon creation mode kind 8 888 unique hand drawn colorful vibrant inspiring eyes nftcommunity nftartist nftgoddesses nftdrops,5.0,1.0,0.0,0.0
"@CryptoStorm__ #StayTuned #EyesOfFashion Can't wait!!! coming soon! 
Creation mode is ON! @EyesoFashionNFT 
First of a kind - 8,888 Unique, hand drawn, colorful, vibrant &amp; inspiring Eyes of #Fashion #NFTs 
https://t.co/5x6ZQxfju5

#NFT #NFTCommunity #NFTs #NFTartist #nftgoddesses #NFTdrops https://t.co/kCMkm9lI0V",staytuned cant wait coming soon creation mode kind 8 888 unique hand drawn colorful vibrant inspiring eyes nftcommunity nftartist nftgoddesses nftdrops,1.0,0.0,0.0,0.0
"@opensea #StayTuned #EyesOfFashion Can't wait!!! Coming soon! 
Creation mode is ON! @EyesoFashionNFT 
First of a kind - 8,888 Unique, hand drawn, colorful, vibrant &amp; inspiring Eyes of #Fashion #NFTs 
https://t.co/5x6ZQxfju5

#NFT #NFTCommunity #NFTs #NFTartist #nftgoddesses #NFTdrops https://t.co/udRal54Jit",staytuned cant wait coming soon creation mode kind 8 888 unique hand drawn colorful vibrant inspiring eyes nftcommunity nftartist nftgoddesses nftdrops,1.0,0.0,0.0,1.0
